name,description,category_id,multi_categories,brand_id,ISBN 10,ISBN 13,Publisher,Author,edition,binding,language,dimensions ,weight ,video_provider,video_link,tags,unit_price,unit,slug,current_stock,est_shipping_days,sku,meta title,meta_description,thumbnail_img,photos
CLASSIC TALES FOR CHILDREN : BRAVERY STORIES,A collection of timeless stories that highlight themes of bravery and courage. This book is designed to inspire young readers with tales of heroes and extraordinary acts of valor.,1,1,,8129124513,9788129124517,Rupa,TERRY O BRIEN,,Paperback,English,12.7 x 1.02 x 19.69 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71er59V07LL._SY466_.jpg,https://m.media-amazon.com/images/I/71er59V07LL._SY466_.jpg
THE BLUE UMBRELLA (ILLUSTRATED),An illustrated edition of Ruskin Bond's classic novella. The beautiful illustrations bring to life the simple yet poignant story of a young girl and her beloved blue umbrella.,1,1,,8129124548,9788129124548,Rupa,RUSKIN BOND,,Paperback,English,"
11.43 x 0.38 x 17.78 ",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51k+ujlPROL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51k+ujlPROL._SY445_SX342_.jpg
ANGRY RIVER (ILLUSTRATED),An illustrated edition of Ruskin Bond's novel. The artwork visually enhances the story of a young girl's journey and her struggle against the forces of nature.,1,1,,8129124556,9788129124555,Rupa,RUSKIN BOND,,Paperback,English,.43 x 0.41 x 17.78,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81d9xVgF6JL._SY466_.jpg,https://m.media-amazon.com/images/I/81d9xVgF6JL._SY466_.jpg
A LONG WALK FOR BINA ILLUSTRATED,"An illustrated version of Ruskin Bond's novella. The book follows a young girl's long and challenging walk, with illustrations that capture the beauty and struggles of her journey through the mountains.",1,1,,8129129361,9788129129369,Rupa,RUSKIN BOND,,Paperback,English,"
11.43 x 0.41 x 17.78 ",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/519uP3JT3nL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/519uP3JT3nL._SY445_SX342_.jpg
A Christmas Carol,"A classic novella by Charles Dickens. The story of Ebenezer Scrooge, a miserly old man who is transformed by visits from three ghosts on Christmas Eve, is a timeless tale of redemption and the holiday spirit.",1,1,,8129115719,9788129115713,Rupa,CHARLES DICKENS,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/419Ib8QHMIL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/419Ib8QHMIL._SY445_SX342_.jpg
A Long Walk For Bina,"A novella by Ruskin Bond. The story follows a young girl's long and challenging walk to fetch school supplies, capturing the simple beauty and hardship of her life in the Himalayan hills.",1,1,,8129129361,9788129129369,Rupa,RUSKIN BOND,,Paperback,English,11.43 x 0.41 x 17.78 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/519uP3JT3nL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/519uP3JT3nL._SY445_SX342_.jpg
Angry River,"A novel by Ruskin Bond. The story follows a young girl's journey through a flood, exploring themes of resilience, nature, and the power of human spirit in the face of adversity.",1,1,,8129124556,9788129124555,Rupa,RUSKIN BOND,,Paperback,English,11.43 x 0.41 x 17.78,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81d9xVgF6JL._SY466_.jpg,https://m.media-amazon.com/images/I/81d9xVgF6JL._SY466_.jpg
Antonyms,"A comprehensive reference guide to antonyms. This book provides a list of words and their opposites, serving as a useful tool for students, writers, and language enthusiasts.",1,1,,8129119684,9788129119681,Rupa,TERRY O BRIEN,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41N5ZiWXQBL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41N5ZiWXQBL._SY445_SX342_.jpg
Baby Names,"A reference guide for choosing baby names. The book includes a wide variety of names from different cultures and origins, along with their meanings and historical significance.",1,1,,8171670121,9788171670123,Rupa,VIMAL PATIL,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/21FPug4+rkL.jpg,https://m.media-amazon.com/images/I/21FPug4+rkL.jpg
Classic Tales For Children : Bravery Stories,A collection of timeless stories that highlight themes of bravery and courage. This book is designed to inspire young readers with tales of heroes and extraordinary acts of valor.,1,1,,8129124513,9788129124517,Rupa,TERRY O BRIEN,,Paperback,English,"
12.7 x 1.02 x 19.69 ",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/517TD3hJg5L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/517TD3hJg5L._SY445_SX342_.jpg
Eassy Writing,"A practical guide to mastering the art of essay writing. This book provides step-by-step instructions on structuring arguments, conducting research, and crafting compelling essays for academic and professional use.",1,1,,8129120550,9788129120557,Rupa,TERRY O BRIEN,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41WzdUUeakL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41WzdUUeakL._SY445_SX342_.jpg
Effective Speaking Skills,"A guide to improving public speaking and communication. The book offers techniques for organizing thoughts, engaging an audience, and overcoming nervousness to deliver confident and impactful speeches.",1,1,,8129118521,9788129118523,Rupa,TERRY O BRIEN,,Paperback,English,10.8 x 0.86 x 17.09,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61rouY-U1vL._SY522_.jpg,https://m.media-amazon.com/images/I/61rouY-U1vL._SY522_.jpg
English Proverbs,"A reference book containing a collection of common English proverbs. It explains the meaning and context of each proverb, making it a valuable resource for language learners.",1,1,,8129118084,9788129118080,Rupa,TERRY O BRIEN,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41xlhh52aHL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41xlhh52aHL._SY445_SX342_.jpg
Humour In And As Medicine,An insightful book that explores the role of humor in health and wellness. It examines the psychological and physiological benefits of laughter and its therapeutic applications.,1,1,,8171670857,9788171670857,Rupa,K P MISRA,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/31H0RJCb9mL.jpg,https://m.media-amazon.com/images/I/31H0RJCb9mL.jpg
Little Red Book Punctuation,"A compact, red-themed guide to punctuation rules. This handy resource provides clear explanations and examples to help writers use punctuation correctly and effectively.",1,1,,8129120577,9788129120571,Rupa,TERRY O BRIEN,,Paperback,English,17.78 x 10.8 x 1.27,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41P-PexQInL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41P-PexQInL._SY445_SX342_.jpg
Perfect Appraisal,"A professional development guide on giving and receiving performance appraisals. The book offers strategies for providing constructive feedback, setting goals, and navigating difficult conversations.",1,1,,812914543X,9788129145437,Rupa,TERRY O BRIEN,,Paperback,English,12.95 x 0.56 x 19.79,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51pSs-2vf7L._SY522_.jpg,https://m.media-amazon.com/images/I/51pSs-2vf7L._SY522_.jpg
Perfect Leader,"A guide to leadership and management. This book provides principles and practices for inspiring teams, fostering a positive work environment, and achieving organizational goals.",1,1,,8129145375,9788129145376,Rupa,TERRY O BRIEN,,Paperback,English,12.95 x 0.61 x 19.79 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51t2ZsJSfwL._SY522_.jpg,https://m.media-amazon.com/images/I/51t2ZsJSfwL._SY522_.jpg
Perfect Meeting,"A practical guide to conducting productive and efficient meetings. The book offers strategies for setting agendas, managing discussions, and ensuring that meetings achieve their intended outcomes.",1,1,,8129145413,9788129145413,Rupa,TERRY O BRIEN,,Paperback,English,"
12.95 x 0.71 x 19.79 ",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/412Nb8BUn-L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/412Nb8BUn-L._SY445_SX342_.jpg
Perfect Negotiation,"A professional guide to mastering negotiation. The book provides techniques for preparing for negotiations, building rapport, and achieving successful outcomes in various contexts.",1,1,,8129145405,9788129145406,Rupa,TERRY O BRIEN,,Paperback,English,2.95 x 0.61 x 19.79 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/518zT+TFXoL._SY522_.jpg,https://m.media-amazon.com/images/I/518zT+TFXoL._SY522_.jpg
Romeo And Juliet,A classic edition of William Shakespeare's famous tragedy. The play tells the story of two star-crossed lovers from feuding families and their tragic fate.,1,1,,8171675239,9788171675234,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,"
20.32 x 12.7 x 1.27",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/716JS22BOHL._SY522_.jpg,https://m.media-amazon.com/images/I/716JS22BOHL._SY522_.jpg
Spelling,"A comprehensive guide to improving spelling skills. This book includes rules, tips, and exercises to help students and writers master English spelling.",1,1,,8129121050,9788129121059,Rupa,TERRY O BRIEN,,Paperback,English,0.8 x 0.94 x 17.09,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61cSyTBT3EL._SY522_.jpg,https://m.media-amazon.com/images/I/61cSyTBT3EL._SY522_.jpg
Super Genius Astronomy Quiz,"A book of quizzes and trivia about astronomy. It challenges readers with questions about planets, stars, galaxies, and the cosmos, serving as a fun and educational resource.",1,1,,8129103761,9788129103765,Rupa,DILIP M SALWI,,Paperback,English,20.32 x 12.7 x 1.27 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51-ZkTUU51L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51-ZkTUU51L._SY445_SX342_.jpg
"The Blue Umbrella,","A classic novella by Ruskin Bond. The story is a touching and simple tale about a young girl and her beloved blue umbrella, exploring themes of innocence, kindness, and human nature.",1,1,,8129124548,9788129124548,Rupa,RUSKIN BOND,,Paperback,English,11.43 x 0.38 x 17.78 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81T4LtzWm4L._SY466_.jpg,https://m.media-amazon.com/images/I/81T4LtzWm4L._SY466_.jpg
The Invironment,A work that explores the relationship between inner feelings and the external environment. This book delves into how our thoughts and emotions are influenced by the spaces we inhabit.,1,1,,812914512X,9788129145123,Rupa,BIJAL VACHHARAJANI,,Paperback,English,"
12.95 x 1.02 x 19.79",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81bW1+HqZML._SY466_.jpg,https://m.media-amazon.com/images/I/81bW1+HqZML._SY466_.jpg
The Merchant Of Venice,"A classic edition of William Shakespeare's play. The drama explores themes of justice, mercy, and prejudice through the story of a merchant who defaults on a loan from a vengeful moneylender.",1,1,,8129107503,9788129107503,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41jqA6aEIIL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41jqA6aEIIL._SY445_SX342_.jpg
The Rupa Book Of School Quiz,"A collection of quiz questions designed for students. This book covers a variety of subjects, making it a fun and educational resource for school-aged children.",1,1,,8171670393,9788171670390,Rupa,G BASU,,Paperback,English,"
20.32 x 12.7 x 1.27",87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61MmACEF-JL._SY425_.jpg,https://m.media-amazon.com/images/I/61MmACEF-JL._SY425_.jpg
The Rupa Book Of Super Expert Science Quiz,"A challenging quiz book for science enthusiasts. It features advanced questions on physics, chemistry, biology, and other scientific fields, testing the knowledge of expert-level readers.",1,1,,8129103656,9788129103659,Rupa,DILIP M SALWI,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61FW-8qO2VL._SY425_.jpg,https://m.media-amazon.com/images/I/61FW-8qO2VL._SY425_.jpg
The Rupa Book Of Super World Wildlife Quiz,"A quiz book for wildlife enthusiasts. This collection of trivia questions covers animals, habitats, and ecosystems from around the world, perfect for testing knowledge on biodiversity.",1,1,,8171670792,9788171670796,Rupa,DEEP NARAYAN PANDEY,,Paperback,English,20.32 x 12.7 x 1.27 ,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41BJUDQlYzL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41BJUDQlYzL._SY445_SX342_.jpg
The Wizard Of Oz,"A classic children's novel by L. Frank Baum. The book tells the story of Dorothy Gale and her dog Toto, who are swept away by a tornado to the magical land of Oz.",1,1,,8171675972,9788171675975,Rupa,L FRANK BAUM,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51J5xig0pML.jpg,https://m.media-amazon.com/images/I/51J5xig0pML.jpg
These Circuses That Sweep Through The Landscape,"A novel or collection of stories with a unique, evocative theme. The title suggests a narrative that follows traveling or transient characters, exploring their impact on the places they visit.",1,1,,9384067563,9789384067564,Rupa,TEJASWINI APTE-RAHM,,Paperback,English,12.95 x 0.97 x 19.79,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81etB3K4vGL._SY522_.jpg,https://m.media-amazon.com/images/I/81etB3K4vGL._SY522_.jpg
Think With Me,A philosophical or self-help book that invites readers to engage in critical thinking. The book guides readers through a series of questions and prompts to encourage introspection and problem-solving.,1,1,,8129142252,9788129142252,Rupa,SUBROTO ROY SAHARA,,Paperback,English,,87,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71b+u0f38NL._SY466_.jpg,https://m.media-amazon.com/images/I/71b+u0f38NL._SY466_.jpg
GREAT STORIES FOR CHILDREN VOL 1,The first volume in a collection of great stories for children. This book features a variety of classic and modern tales designed to entertain and educate young readers.,1,1,,9357023682,9789357023689,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81THeyfN3AL._SY522_.jpg,https://m.media-amazon.com/images/I/81THeyfN3AL._SY522_.jpg
GREAT STORIES FOR CHILDREN VOL 4,"The fourth volume in a collection of great stories for children. This book features a new set of engaging tales, continuing to provide entertainment and educational value.",1,1,,9357023917,9789357023917,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/515nG42xqIL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/515nG42xqIL._SY445_SX342_.jpg
GREAT STORIES FOR CHILDREN VOL 3,"The third volume in a collection of great stories for children. This book features a new set of engaging tales, continuing to provide entertainment and educational value.",1,1,,9357024409,9789357024402,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81tnYNWYebL._SY522_.jpg,https://m.media-amazon.com/images/I/81tnYNWYebL._SY522_.jpg
Great Stories For Children Vol 1,The first volume in a collection of great stories for children. This book features a variety of classic and modern tales designed to entertain and educate young readers.,1,1,,9357023682,9789357023689,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81THeyfN3AL._SY522_.jpg,https://m.media-amazon.com/images/I/81THeyfN3AL._SY522_.jpg
Great Stories For Children Vol 2,"The second volume in a collection of great stories for children. It offers a fresh selection of stories, continuing to provide entertainment and educational value for young readers.",1,1,,9357023607,9789357023603,Rupa,RUSKIN BOND,,Paperback,English,,88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/517XfpXjvwL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/517XfpXjvwL._SY445_SX342_.jpg
Great Stories For Children Vol 3,"The third volume in a collection of great stories for children. This book features a new set of engaging tales, continuing to provide entertainment and educational value.",1,1,,9357024409,9789357024402,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81tnYNWYebL._SY522_.jpg,https://m.media-amazon.com/images/I/81tnYNWYebL._SY522_.jpg
Great Stories For Children Vol 4,"The fourth volume in a collection of great stories for children. This book features a new set of engaging tales, continuing to provide entertainment and educational value.",1,1,,9357023917,9789357023917,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.41 x 21.6",88,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81f5SI87h1L._SY522_.jpg,https://m.media-amazon.com/images/I/81f5SI87h1L._SY522_.jpg
LEGENDS OF THE HILLS (PB),"A paperback collection of myths and legends from a hilly region. This book preserves and shares traditional folklore, offering insight into the cultural heritage of a specific geographic area.",1,1,,939125683X,9789391256838,Rupa,RUSKIN BOND,,Paperback,English,"
13 x 0.71 x 19.7",90,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51VhBhPXp8L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51VhBhPXp8L._SY445_SX342_.jpg
The Grand History Quiz,"A comprehensive quiz book that tests knowledge of world history. It covers a vast range of historical periods, events, and figures, perfect for history enthusiasts.",1,1,,9353335906,9789353335908,Rupa,BERTY ASHLEY & AKHILA PHADNIS,,Paperback,English,"
13 x 0.51 x 19.7",90,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/519T4RqyHmL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/519T4RqyHmL._SY445_SX342_.jpg
Unborn Desire An,"A profound and introspective novel exploring themes of unfulfilled longing and human desire. The book delves into the inner world of its characters, examining their aspirations and emotional landscapes.",1,1,,9391256201,9789391256203,Rupa,ANANYA MUKHERJEE,,Paperback,English,"
12.9 x 1.09 x 19.8",90,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/715YFNfl9QL._SY466_.jpg,https://m.media-amazon.com/images/I/715YFNfl9QL._SY466_.jpg
The Elements Of Style,"A classic and concise guide to writing style. This book offers essential rules and advice for effective and clear prose, making it a fundamental resource for students, writers, and editors.",1,1,,9355204795,9789355204790,Rupa,WILLIAM STRUNK JR.,,Paperback,English,"
12.7 x 0.61 x 19.81 ",91,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61sUW58eb9L._SY466_.jpg,https://m.media-amazon.com/images/I/61sUW58eb9L._SY466_.jpg
WILLIAM SHAKESPEARE : TWELFTH NIGHT,"An edition of William Shakespeare's classic comedy. This play, a hilarious tale of mistaken identity, love triangles, and deception, is one of the playwright's most beloved works.",1,1,,8129102323,9788129102324,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,"
20.32 x 12.7 x 1.27 ",93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91XGUs6Rd1L._SY425_.jpg,https://m.media-amazon.com/images/I/91XGUs6Rd1L._SY425_.jpg
TURBANED TORNADO,"A biographical work that chronicles the life and achievements of a prominent figure, often an athlete, known for their powerful impact and distinct identity. The title suggests a blend of cultural pride and immense force.",1,1,,8129118424,9788129118424,Rupa,KHUSHWANT SINGH,,Paperback,English,"
20 x 12 x 1.47",93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/518MkU3PXpL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/518MkU3PXpL._SY445_SX342_.jpg
KING BHARATA AND OTHER STORIES,"A collection of stories for children, featuring the tale of King Bharata. These narratives are rooted in Indian mythology and history, offering valuable lessons and cultural insights.",1,1,,9361564846,9789361564840,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.38 x 21.6",92,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41l3Y1E4sDL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41l3Y1E4sDL._SY445_SX342_.jpg
THE TIGER IN THE TUNNEL AND OTHER STORIES,"A collection of short stories by Ruskin Bond. This volume features the iconic tale of a boy's bravery in the presence of a tiger, along with other poignant and memorable stories.",1,1,,9361566857,9789361566851,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.38 x 21.6",92,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41jRD8jpxEL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41jRD8jpxEL._SY445_SX342_.jpg
Common Errors,"A practical guide to avoiding common mistakes in English. This book focuses on grammar, spelling, and usage errors, providing clear explanations and corrections.",1,1,,8129119706,9788129119704,Rupa,TERRY O BRIEN,,Paperback,English,"
10.8 x 1.3 x 17.09",93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61Yr807g1nL._SY522_.jpg,https://m.media-amazon.com/images/I/61Yr807g1nL._SY522_.jpg
King Bharata And Other Stories,"A collection of stories for children, featuring the tale of King Bharata. These narratives are rooted in Indian mythology and history, offering valuable lessons and cultural insights.",1,1,,9361564846,9789361564840,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.38 x 21.6",92,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71qhsKRpPbL._SY466_.jpg,https://m.media-amazon.com/images/I/71qhsKRpPbL._SY466_.jpg
Live From London,"A book that captures the essence of a particular moment or cultural scene in London. The title suggests a sense of immediacy, as if the events are happening in real time.",1,1,,8129118238,9788129118233,Rupa,PARINDA JOSHI,,Paperback,English,,93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71xuo7b6mHL._SY466_.jpg,https://m.media-amazon.com/images/I/71xuo7b6mHL._SY466_.jpg
Seven Brides For Seven  Prince  And Other Stories,"A collection of fairy tales and fables, featuring a unique twist on classic tropes. The book offers a fresh and enchanting set of stories for young readers.",1,1,,936156014X,9789361560149,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.38 x 21.6",92,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/815-6NoIfNL._SY466_.jpg,https://m.media-amazon.com/images/I/815-6NoIfNL._SY466_.jpg
The Tiger In The Tunnel And Other Stories,"A collection of short stories by Ruskin Bond. This volume features the iconic tale of a boy's bravery in the presence of a tiger, along with other poignant and memorable stories.",1,1,,9361566857,9789361566851,Rupa,RUSKIN BOND,,Paperback,English,"
14 x 0.38 x 21.6",92,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71ylN9tn5dL._SY466_.jpg,https://m.media-amazon.com/images/I/71ylN9tn5dL._SY466_.jpg
Turbaned Tornado,"A biographical work that chronicles the life and achievements of a prominent figure, often an athlete, known for their powerful impact and distinct identity. The title suggests a blend of cultural pride and immense force.",1,1,,8129118424,9788129118424,Rupa,KHUSHWANT SINGH,,Paperback,English,"
14 x 0.38 x 21.6",93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71ylN9tn5dL._SY466_.jpg,https://m.media-amazon.com/images/I/71ylN9tn5dL._SY466_.jpg
Twelfth Night.,"An edition of William Shakespeare's classic comedy. This play, a hilarious tale of mistaken identity, love triangles, and deception, is one of the playwright's most beloved works.",1,1,,8129102323,9788129102324,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,"
20.32 x 12.7 x 1.27",93,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91XGUs6Rd1L._SY425_.jpg,https://m.media-amazon.com/images/I/91XGUs6Rd1L._SY425_.jpg
ONE MINUTE MANAGER,A classic business fable that teaches effective management principles in a simple and concise format. The book provides a practical framework for leadership and productivity.,1,1,,8172234996,9788172234997,Rupa,KEN BLANCHARD,,Paperback,English,"
12.9 x 0.7 x 19.8",94,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71XX7GFPVDL._SY522_.jpg,https://m.media-amazon.com/images/I/71XX7GFPVDL._SY522_.jpg
THE GEETA,"A philosophical and spiritual work based on the Bhagavad Gita. This book offers a modern interpretation of the ancient scripture, providing guidance on duty, spirituality, and living a purposeful life.",1,1,,8129100738,9788129100733,Rupa,SHREE PUROHIT SWAMI,,Paperback,English,12.9 x 0.48 x 19.81,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61QXaqfveXL._SY522_.jpg,https://m.media-amazon.com/images/I/61QXaqfveXL._SY522_.jpg
GANESH (HB),"A hardcover book dedicated to the Hindu deity Lord Ganesh. It explores the myths, symbolism, and significance of Ganesh, who is revered as the remover of obstacles and the god of new beginnings.",1,1,,8129140292,9788129140296,Rupa,SUBHADRA SEN GUPTA,,Paperback,English,,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61H4nc0Z2gL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/61H4nc0Z2gL._SY445_SX342_.jpg
GITANJALI:RABINDRANATH TAGORE,"A collection of spiritual poems by Nobel laureate Rabindranath Tagore. This work, translated as ""Song Offerings,"" is a profound expression of devotion and the search for the divine.",1,1,,8171676766,9788171676767,Rupa,RABINDRANATH TAGORE,,Paperback,English,12.7 x 0.71 x 15.24,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/518K+yHHoXL._SX342_SY445_.jpg,https://m.media-amazon.com/images/I/518K+yHHoXL._SX342_SY445_.jpg
Euphemisms,"A reference guide to euphemisms. The book provides a list of words and phrases used to soften or substitute for more direct terms, with explanations of their usage and social context.",1,1,,8129118068,9788129118066,Rupa,TERRY O BRIEN,,Paperback,English,"
20.32 x 12.7 x 1.27 ",96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61ov9FYAZIL._SY522_.jpg,https://m.media-amazon.com/images/I/61ov9FYAZIL._SY522_.jpg
Ganesh,"A book dedicated to the Hindu deity Lord Ganesh. It explores the myths, symbolism, and significance of Ganesh, who is revered as the remover of obstacles and the god of new beginnings.",1,1,,8129140292,9788129140296,Rupa,SUBHADRA SEN GUPTA,,Paperback,English,,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61H4nc0Z2gL._SY385_.jpg,https://m.media-amazon.com/images/I/61H4nc0Z2gL._SY385_.jpg
Gitanjali,"A collection of spiritual poems by Nobel laureate Rabindranath Tagore. This work, translated as ""Song Offerings,"" is a profound expression of devotion and the search for the divine.",1,1,,8171676766,9788171676767,Rupa,RABINDRANATH TAGORE,,Paperback,English,12.7 x 0.71 x 15.24 ,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81Kngo7JwzL._SY385_.jpg,https://m.media-amazon.com/images/I/81Kngo7JwzL._SY385_.jpg
King Lear,A classic edition of William Shakespeare's tragic play. The story follows a powerful king who descends into madness after foolishly dividing his kingdom among his deceitful daughters.,1,1,,8129107988,9788129107985,Rupa,WILLIAM SHAKESPEARE,,Paperback,English,,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71kpxukDwpL._SL1360_.jpg,https://m.media-amazon.com/images/I/71kpxukDwpL._SL1360_.jpg
"Maximise Mindfulness, Minimise Mindlessness","A self-help book that provides strategies for practicing mindfulness in daily life. It offers techniques to increase focus, reduce stress, and live more intentionally.",1,1,,9357021310,9789357021319,Rupa,SAM DRAKE,,Paperback,English,,97,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61XhGHebrHL._SY466_.jpg,https://m.media-amazon.com/images/I/61XhGHebrHL._SY466_.jpg
Perfect Communication,"A professional guide to mastering communication in the workplace. The book offers techniques for clear, effective, and persuasive communication in various professional settings.",1,1,,8129145448,9788129145444,Rupa,TERRY O BRIEN,,Paperback,English,12.95 x 0.66 x 19.79,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51OrjMBMCOL._SY522_.jpg,https://m.media-amazon.com/images/I/51OrjMBMCOL._SY522_.jpg
The Geeta,"A philosophical and spiritual work based on the Bhagavad Gita. This book offers a modern interpretation of the ancient scripture, providing guidance on duty, spirituality, and living a purposeful life.",1,1,,8129100738,9788129100733,Rupa,SHREE PUROHIT SWAMI,,Paperback,English,12.9 x 0.48 x 19.81,96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61QXaqfveXL._SY522_.jpg,https://m.media-amazon.com/images/I/61QXaqfveXL._SY522_.jpg
Winning Like Yuvraj (pb),"A paperback biography or self-help book inspired by the life of cricketer Yuvraj Singh. It focuses on his resilience, determination, and the mental fortitude required to overcome challenges and achieve success.",1,1,,9353332893,9789353332891,Rupa,ALPESH PATEL,,Paperback,English,"
12.95 x 0.89 x 19.79",96,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/616S0k4xWOL._SY466_.jpg,https://m.media-amazon.com/images/I/616S0k4xWOL._SY466_.jpg
